timestamp,source_ip,destination_ip,protocol,packet_size
2026-06-16 10:34:46.912480,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.912480,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.912480,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.920354,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.920354,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.920354,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.920354,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.920354,142.251.151.119,10.246.100.105,17,68
2026-06-16 10:34:46.920354,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.920354,10.246.100.105,1.39.87.76,17,74
2026-06-16 10:34:46.920354,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.928466,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.928466,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.929973,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.931581,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.931581,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.931581,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.931581,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.935039,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.935039,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.935039,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.935039,10.246.100.105,1.39.87.76,17,74
2026-06-16 10:34:46.938617,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.940128,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.940128,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.940128,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.940128,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.940128,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.940128,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.940128,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.946928,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.946928,10.246.100.105,1.39.87.76,17,74
2026-06-16 10:34:46.946928,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.946928,20.189.172.76,10.246.100.105,6,157
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.950325,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:46.955985,10.246.100.105,1.39.87.76,17,75
